Global Land January Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Anomaly
1998,0.57
1999,0.79
2000,0.48
2001,0.62
2002,1.19
2003,1.24
2004,0.78
2005,1.34
2006,1.08
2007,1.86
2008,0.34
2009,1.25
2010,1.04
2011,0.94
2012,0.78
2013,1.25
2014,1.27
2015,1.34
2016,2.00
2017,1.83
2018,1.40
2019,1.43
2020,1.88
2021,1.47
2022,1.53
2023,1.35
