Global Land and Ocean January Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Anomaly
1998,0.58
1999,0.49
2000,0.34
2001,0.44
2002,0.68
2003,0.71
2004,0.58
2005,0.74
2006,0.63
2007,0.94
2008,0.29
2009,0.66
2010,0.75
2011,0.56
2012,0.48
2013,0.70
2014,0.75
2015,0.82
2016,1.22
2017,1.05
2018,0.83
2019,0.91
2020,1.13
2021,0.83
2022,0.93
2023,0.87
